sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_max_coverage,exact_selected_max_coverage_se,exact_selected_max_coverage_ci_low,exact_selected_max_coverage_ci_high,exact_selected_final_coverage,exact_selected_final_coverage_se,exact_selected_final_coverage_ci_low,exact_selected_final_coverage_ci_high,exact_selected_success,exact_selected_success_se,exact_selected_success_ci_low,exact_selected_success_ci_high
consistency_1step,pusht_aligned,behavior_cloning_critic,1,1,1,0.29935809672082325,0.0,0.29935809672082325,0.29935809672082325,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,behavior_cloning_critic,2,1,1,0.29512534976533406,0.0,0.29512534976533406,0.29512534976533406,0.31398333253816113,0.0,0.31398333253816113,0.31398333253816113,0.26523975265895644,0.0,0.26523975265895644,0.26523975265895644,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,behavior_cloning_critic,4,1,1,0.28981775064608606,0.0,0.28981775064608606,0.28981775064608606,0.30799973383256946,0.0,0.30799973383256946,0.30799973383256946,0.2454046320177797,0.0,0.2454046320177797,0.2454046320177797,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,behavior_cloning_critic,8,1,1,0.28452250894498954,0.0,0.28452250894498954,0.28452250894498954,0.3025236941410227,0.0,0.3025236941410227,0.3025236941410227,0.20561305730601132,0.0,0.20561305730601132,0.20561305730601132,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,diffusion_internal_score,1,1,1,0.29935809672082325,0.0,0.29935809672082325,0.29935809672082325,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,diffusion_internal_score,2,1,1,0.31887991937252125,0.0,0.31887991937252125,0.31887991937252125,0.3395874041595085,0.0,0.3395874041595085,0.3395874041595085,0.25976224366910083,0.0,0.25976224366910083,0.25976224366910083,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,diffusion_internal_score,4,1,1,0.3273328448051865,0.0,0.3273328448051865,0.3273328448051865,0.35097935566348387,0.0,0.35097935566348387,0.35097935566348387,0.2613027435003148,0.0,0.2613027435003148,0.2613027435003148,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,diffusion_internal_score,8,1,1,0.3302141451609759,0.0,0.3302141451609759,0.3302141451609759,0.35668112625181625,0.0,0.35668112625181625,0.35668112625181625,0.2916501456449695,0.0,0.2916501456449695,0.2916501456449695,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,1,1,1,0.2993580967208233,0.0,0.2993580967208233,0.2993580967208233,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,2,1,1,0.3117399023935977,0.0,0.3117399023935977,0.3117399023935977,0.3318079485819522,0.0,0.3318079485819522,0.3318079485819522,0.24912905793684822,0.0,0.24912905793684822,0.24912905793684822,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,4,1,1,0.3271060976634468,0.0,0.3271060976634468,0.3271060976634468,0.3496268241084065,0.0,0.3496268241084065,0.3496268241084065,0.2269378187877076,0.0,0.2269378187877076,0.2269378187877076,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,learned_value_critic_from_pilot_rollouts,8,1,1,0.34172708512383065,0.0,0.34172708512383065,0.34172708512383065,0.36581808390490095,0.0,0.36581808390490095,0.36581808390490095,0.18297126758578242,0.0,0.18297126758578242,0.18297126758578242,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,misaligned_corner_scorer,1,1,1,0.2993580967208233,0.0,0.2993580967208233,0.2993580967208233,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,misaligned_corner_scorer,2,1,1,0.3041548354643231,0.0,0.3041548354643231,0.3041548354643231,0.3237231592100506,0.0,0.3237231592100506,0.3237231592100506,0.25026733875535745,0.0,0.25026733875535745,0.25026733875535745,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,misaligned_corner_scorer,4,1,1,0.32417350817039914,0.0,0.32417350817039914,0.32417350817039914,0.34569307042363595,0.0,0.34569307042363595,0.34569307042363595,0.2287684839719438,0.0,0.2287684839719438,0.2287684839719438,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,misaligned_corner_scorer,8,1,1,0.34220403852642306,0.0,0.34220403852642306,0.34220403852642306,0.3656459717127821,0.0,0.3656459717127821,0.3656459717127821,0.1833156450726005,0.0,0.1833156450726005,0.1833156450726005,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,oracle_real_utility_selector,1,1,1,0.29935809672082325,0.0,0.29935809672082325,0.29935809672082325,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,oracle_real_utility_selector,2,1,1,0.32527711236910395,0.0,0.32527711236910395,0.32527711236910395,0.34450538432650135,0.0,0.34450538432650135,0.34450538432650135,0.27074977260799943,0.0,0.27074977260799943,0.27074977260799943,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,oracle_real_utility_selector,4,1,1,0.3449229042734887,0.0,0.3449229042734887,0.3449229042734887,0.36448813206789754,0.0,0.36448813206789754,0.36448813206789754,0.2824593376942679,0.0,0.2824593376942679,0.2824593376942679,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,oracle_real_utility_selector,8,1,1,0.35572828840740883,0.0,0.35572828840740883,0.35572828840740883,0.37422511040007617,0.0,0.37422511040007617,0.37422511040007617,0.3062363860409205,0.0,0.3062363860409205,0.3062363860409205,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,random_sample_selection,1,1,1,0.29935809672082325,0.0,0.29935809672082325,0.29935809672082325,0.31769479044640925,0.0,0.31769479044640925,0.31769479044640925,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,random_sample_selection,2,1,1,0.29050850633852876,0.0,0.29050850633852876,0.29050850633852876,0.308236472387723,0.0,0.308236472387723,0.308236472387723,0.28186470258310603,0.0,0.28186470258310603,0.28186470258310603,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,random_sample_selection,4,1,1,0.27502403843664325,0.0,0.27502403843664325,0.27502403843664325,0.29200924964379465,0.0,0.29200924964379465,0.29200924964379465,0.2781205259796922,0.0,0.2781205259796922,0.2781205259796922,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,random_sample_selection,8,1,1,0.2525032758657237,0.0,0.2525032758657237,0.2525032758657237,0.2686259453826342,0.0,0.2686259453826342,0.2686259453826342,0.26572308170458553,0.0,0.26572308170458553,0.26572308170458553,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,uncertainty_aware_critic,1,1,1,0.29935809672082325,0.0,0.29935809672082325,0.29935809672082325,0.3176947904464092,0.0,0.3176947904464092,0.3176947904464092,0.2635555343591792,0.0,0.2635555343591792,0.2635555343591792,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,uncertainty_aware_critic,2,1,1,0.30921834199446707,0.0,0.30921834199446707,0.30921834199446707,0.3298188027336028,0.0,0.3298188027336028,0.3298188027336028,0.2425283769932934,0.0,0.2425283769932934,0.2425283769932934,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,uncertainty_aware_critic,4,1,1,0.32473225640751674,0.0,0.32473225640751674,0.32473225640751674,0.3479183512368377,0.0,0.3479183512368377,0.3479183512368377,0.21823998803746805,0.0,0.21823998803746805,0.21823998803746805,0.0,0.0,0.0,0.0
consistency_1step,pusht_aligned,uncertainty_aware_critic,8,1,1,0.3413454316054019,0.0,0.3413454316054019,0.3413454316054019,0.36561884314353993,0.0,0.36561884314353993,0.36561884314353993,0.18043133993033744,0.0,0.18043133993033744,0.18043133993033744,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,1,1,1,0.05881532914937667,0.0,0.05881532914937667,0.05881532914937667,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,2,1,1,0.10471806981100516,0.0,0.10471806981100516,0.10471806981100516,0.13888085261740163,0.0,0.13888085261740163,0.13888085261740163,0.10140201606399012,0.0,0.10140201606399012,0.10140201606399012,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,4,1,1,0.1615829162739935,0.0,0.1615829162739935,0.1615829162739935,0.19201857258264446,0.0,0.19201857258264446,0.19201857258264446,0.14774367584471096,0.0,0.14774367584471096,0.14774367584471096,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,behavior_cloning_critic,8,1,1,0.2254949979129263,0.0,0.2254949979129263,0.2254949979129263,0.25358210215449245,0.0,0.25358210215449245,0.25358210215449245,0.19466257700951667,0.0,0.19466257700951667,0.19466257700951667,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,1,1,1,0.05881532914937666,0.0,0.05881532914937666,0.05881532914937666,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,2,1,1,0.03758304641586803,0.0,0.03758304641586803,0.03758304641586803,0.07190853533798718,0.0,0.07190853533798718,0.07190853533798718,0.03596742004549089,0.0,0.03596742004549089,0.03596742004549089,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,4,1,1,0.038327371382317364,0.0,0.038327371382317364,0.038327371382317364,0.06876478759869081,0.0,0.06876478759869081,0.06876478759869081,0.020680334102607018,0.0,0.020680334102607018,0.020680334102607018,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,diffusion_internal_score,8,1,1,0.04154953781702677,0.0,0.04154953781702677,0.04154953781702677,0.07026268006350653,0.0,0.07026268006350653,0.07026268006350653,0.005369493172771408,0.0,0.005369493172771408,0.005369493172771408,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,1,1,1,0.05881532914937667,0.0,0.05881532914937667,0.05881532914937667,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,2,1,1,0.09979149200416838,0.0,0.09979149200416838,0.09979149200416838,0.12812078903175625,0.0,0.12812078903175625,0.12812078903175625,0.08492011994309036,0.0,0.08492011994309036,0.08492011994309036,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,4,1,1,0.11452321934309351,0.0,0.11452321934309351,0.11452321934309351,0.13964413325348246,0.0,0.13964413325348246,0.13964413325348246,0.09153276975641422,0.0,0.09153276975641422,0.09153276975641422,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,learned_value_critic_from_pilot_rollouts,8,1,1,0.08819927251681665,0.0,0.08819927251681665,0.08819927251681665,0.11289856887291733,0.0,0.11289856887291733,0.11289856887291733,0.0695909663436156,0.0,0.0695909663436156,0.0695909663436156,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,1,1,1,0.05881532914937668,0.0,0.05881532914937668,0.05881532914937668,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,2,1,1,0.01583798107338598,0.0,0.01583798107338598,0.01583798107338598,0.06183683138466528,0.0,0.06183683138466528,0.06183683138466528,0.03204111818198503,0.0,0.03204111818198503,0.03204111818198503,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,4,1,1,-0.012398012729934321,0.0,-0.012398012729934321,-0.012398012729934321,0.043918766596981414,0.0,0.043918766596981414,0.043918766596981414,0.016838325086564958,0.0,0.016838325086564958,0.016838325086564958,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,misaligned_corner_scorer,8,1,1,-0.040307342801861774,0.0,-0.040307342801861774,-0.040307342801861774,0.03129660884063275,0.0,0.03129660884063275,0.03129660884063275,0.012891915752682753,0.0,0.012891915752682753,0.012891915752682753,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,1,1,1,0.05881532914937666,0.0,0.05881532914937666,0.05881532914937666,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,2,1,1,0.12152289157023123,0.0,0.12152289157023123,0.12152289157023123,0.14954454821695973,0.0,0.14954454821695973,0.14954454821695973,0.10626667349838782,0.0,0.10626667349838782,0.10626667349838782,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,4,1,1,0.19458168540911167,0.0,0.19458168540911167,0.19458168540911167,0.21876159052471605,0.0,0.21876159052471605,0.21876159052471605,0.16748309737595965,0.0,0.16748309737595965,0.16748309737595965,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,oracle_real_utility_selector,8,1,1,0.2641552506081293,0.0,0.2641552506081293,0.2641552506081293,0.28699085052888507,0.0,0.28699085052888507,0.28699085052888507,0.22705911781592591,0.0,0.22705911781592591,0.22705911781592591,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,random_sample_selection,1,1,1,0.05881532914937667,0.0,0.05881532914937667,0.05881532914937667,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,random_sample_selection,2,1,1,0.08985519516111076,0.0,0.08985519516111076,0.08985519516111076,0.1236443370983666,0.0,0.1236443370983666,0.1236443370983666,0.08253167937041471,0.0,0.08253167937041471,0.08253167937041471,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,random_sample_selection,4,1,1,0.10016715147954332,0.0,0.10016715147954332,0.10016715147954332,0.1303580952561508,0.0,0.1303580952561508,0.1303580952561508,0.0820516755740872,0.0,0.0820516755740872,0.0820516755740872,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,random_sample_selection,8,1,1,0.0881022729928976,0.0,0.0881022729928976,0.0881022729928976,0.11711928883780279,0.0,0.11711928883780279,0.11711928883780279,0.05698559742085097,0.0,0.05698559742085097,0.05698559742085097,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,uncertainty_aware_critic,1,1,1,0.05881532914937667,0.0,0.05881532914937667,0.05881532914937667,0.09743396904195478,0.0,0.09743396904195478,0.09743396904195478,0.06305809695047772,0.0,0.06305809695047772,0.06305809695047772,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,uncertainty_aware_critic,2,1,1,0.09979149200416838,0.0,0.09979149200416838,0.09979149200416838,0.12812078903175625,0.0,0.12812078903175625,0.12812078903175625,0.08492011994309036,0.0,0.08492011994309036,0.08492011994309036,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,uncertainty_aware_critic,4,1,1,0.11452321934309351,0.0,0.11452321934309351,0.11452321934309351,0.13964413325348246,0.0,0.13964413325348246,0.13964413325348246,0.09153276975641422,0.0,0.09153276975641422,0.09153276975641422,0.0,0.0,0.0,0.0
consistency_1step,pusht_high_temp_misaligned,uncertainty_aware_critic,8,1,1,0.08819927251681665,0.0,0.08819927251681665,0.08819927251681665,0.11289856887291733,0.0,0.11289856887291733,0.11289856887291733,0.0695909663436156,0.0,0.0695909663436156,0.0695909663436156,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,behavior_cloning_critic,1,1,1,-0.001773841979980469,0.0,-0.001773841979980469,-0.001773841979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,behavior_cloning_critic,2,1,1,-0.0017701144714355468,0.0,-0.0017701144714355468,-0.0017701144714355468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,behavior_cloning_critic,4,1,1,-0.0017455315222740173,0.0,-0.0017455315222740173,-0.0017455315222740173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,behavior_cloning_critic,8,1,1,-0.0017399598410251784,0.0,-0.0017399598410251784,-0.0017399598410251784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,diffusion_internal_score,1,1,1,-0.001773841979980469,0.0,-0.001773841979980469,-0.001773841979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,diffusion_internal_score,2,1,1,-0.001742214317321777,0.0,-0.001742214317321777,-0.001742214317321777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,diffusion_internal_score,4,1,1,-0.0017083719463348388,0.0,-0.0017083719463348388,-0.0017083719463348388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,diffusion_internal_score,8,1,1,-0.0016514479181687345,0.0,-0.0016514479181687345,-0.0016514479181687345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,learned_value_critic_from_pilot_rollouts,1,1,1,-0.001773841979980469,0.0,-0.001773841979980469,-0.001773841979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,learned_value_critic_from_pilot_rollouts,2,1,1,-0.0017266146583557126,0.0,-0.0017266146583557126,-0.0017266146583557126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,learned_value_critic_from_pilot_rollouts,4,1,1,-0.0016715132827162743,0.0,-0.0016715132827162743,-0.0016715132827162743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,learned_value_critic_from_pilot_rollouts,8,1,1,-0.0016047518362208354,0.0,-0.0016047518362208354,-0.0016047518362208354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,misaligned_corner_scorer,1,1,1,-0.0017738419799804685,0.0,-0.0017738419799804685,-0.0017738419799804685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,misaligned_corner_scorer,2,1,1,-0.0018213757514953615,0.0,-0.0018213757514953615,-0.0018213757514953615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,misaligned_corner_scorer,4,1,1,-0.001863316758453846,0.0,-0.001863316758453846,-0.001863316758453846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,misaligned_corner_scorer,8,1,1,-0.0018923069847801963,0.0,-0.0018923069847801963,-0.0018923069847801963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,oracle_real_utility_selector,1,1,1,-0.001773841979980469,0.0,-0.001773841979980469,-0.001773841979980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,oracle_real_utility_selector,2,1,1,-0.0016943681640624998,0.0,-0.0016943681640624998,-0.0016943681640624998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,oracle_real_utility_selector,4,1,1,-0.0016257803387641906,0.0,-0.0016257803387641906,-0.0016257803387641906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,oracle_real_utility_selector,8,1,1,-0.0015751199788954107,0.0,-0.0015751199788954107,-0.0015751199788954107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,random_sample_selection,1,1,1,-0.0017738419799804687,0.0,-0.0017738419799804687,-0.0017738419799804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consistency_1step,pusht_low_diversity,random_sample_selection,2,1,1,-0.0018067169227600096,0.0,-0.0018067169227600096,-0.0018067169227600096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
